GeneID	CON_1	GFP_1	CON_2	GFP_2	CON_3	GFP_3
Mylk3	20	12	13	16	0	0
Mylk4	17	16	0	0	0	0
Mylpf	32	102	6	78	0	0
Mynn	805	314	1220	163	2032	0
Myo10	1477	75	2175	7740	25	1900
Myo15	109	8	24	11	8	0
Myo15b	102	60	51	175	8	12
Myo16	41	13	90	8	9	2
Myo18a	863	85	2526	349	35	1
Myo18b	49	12	29	57	4	3
Myo19	110	2	125	49	11	0
Myo1a	22	63	33	27	7	0
Myo1b	1121	318	1602	95	4297	6
Myo1c	2033	401	5232	330	58	1
Myo1d	475	57	362	2	193	0
Myo1e	1275	297	2415	239	290	0
Myo1f	49	0	43	12	5	0
Myo1g	101	115	90	94	29	0
Myo1h	43	28	28	7	2	0
Myo3a	22	10	2	1	0	0
Myo3b	21	0	15	5	0	0
Myo5a	1601	619	1370	410	3352	0
Myo5b	57	6	51	41	12	6
Myo5c	69	4	52	95	25	0
Myo6	593	113	964	171	210	0
Myo7a	96	8	106	21	2	0
Myo7b	65	5	0	15	6	0
Myo9a	1032	467	770	103	354	7
Myo9b	623	27	1109	138	735	2
Myoc	10	1	1	7	0	0
Myocd	38	3	8	10	6	0
Myod1	8	1	0	4	1	0
Myof	386	50	459	47	26	0
Myog	11	0	0	1	4	0
Myom1	112	21	75	16	121	0
Myom2	95	182	518	3064	1514	10
Myom3	77	10	53	43	28	0
Myot	11	0	5	3	0	0
Myoz1	18	0	17	0	0	0
Myoz2	18	12	9	0	8	0
Myoz3	4	0	0	0	1	0
Mypn	55	20	0	6	4	0
Mypop	62	0	57	15	0	0
Mypopos	83	2	5	10	0	0
Myrf	112	12	111	36	3	0
Myrfl	12	34	25	21	0	0
Myrip	70	39	116	62	8	3
Mysm1	504	181	609	195	128	0
Myt1	392	177	142	9	492	0
Myt1l	977	306	560	61	273	0
Myzap	175	35	97	53	0	17
Mzb1	9	0	0	3	0	0
Mzf1	149	6	68	17	6	0
Mzt1	1028	213	1122	16496	7762	4753
Mzt2	531	103	766	161	635	1
N4bp1	422	30	740	110	1378	11
N4bp2	86	22	90	24	14	0
N4bp2l1	385	115	273	305	20	157
N4bp2l2	1348	3493	1807	3020	1608	16
N4bp2os	7	0	23	3	1	0
N4bp3	1158	80	1241	53	6	1
N6amt1	740	211	1110	199	1428	1
Naa10	248	33	417	81	579	0
Naa11	3	2	0	0	0	0
Naa15	1782	444	1530	311	97	14
Naa16	301	151	437	81	899	0
Naa20	1693	613	1884	457	43	2
Naa25	1220	332	1992	295	1785	0
Naa30	569	86	996	188	9	5
Naa35	1148	442	2081	450	2702	17
Naa38	925	335	1720	2748	3362	543
Naa40	357	65	1067	1191	54	353
Naa50	1922	329	4150	1265	3302	6
Naa60	733	12	1386	88	0	0
Naaa	345	91	589	80	77	0
Naalad2	59	4	227	8	0	0
Naaladl1	31	9	8	20	5	0
Naaladl2	47	2	65	4	15	0
Nab1	650	120	1081	11013	4762	3140
Nab2	180	2	1326	72	15	0
Nabp1	342	480	241	804	0	1
Nabp2	1018	101	1760	3181	1712	648
Naca	512	212	786	715	5036	645
Nacad	2106	217	3577	98	1349	0
Nacc1	190	19	377	63	21	0
Nacc2	1808	176	3773	1030	557	285
Nadk	2446	233	6527	719	5233	2
Nadk2	161	89	375	45	9	0
Nadsyn1	198	50	342	137	9	0
Nae1	2812	962	3220	738	2507	2
Naf1	123	0	58	35	0	0
Naga	746	233	1400	7009	25	1572
Nagk	2380	389	2901	4620	5198	952
Naglu	593	24	1452	111	13	0
Nagpa	521	19	927	152	6	1
Nags	15	0	1	3	0	0
Naif1	329	10	201	53	1341	8
Naip1	32	6	15	0	0	0
Naip2	15	0	0	0	19	0
Naip3	0	1	0	0	6	0
Naip5	12	1	0	3	1	5
Naip6	12	1	0	0	0	0
Nalcn	202	7	122	14	0	0
Nampt	1188	885	2145	656	3	18
Nanog	22	86	52	147	105	13
Nanog-ps1	0	0	0	0	0	0
Nanog-ps2	0	0	0	0	0	0
Nanos1	285	78	350	109	3	15
Nanos2	5	0	0	0	0	0
Nanos3	26	0	2	12	0	0
Nanp	4	0	1	0	0	0
Nans	659	103	1290	273	111	1
Nap1l1	1523	553	2011	775	6888	250
Nap1l2	870	243	717	136	2349	0
Nap1l3	604	72	263	71	6	0
Nap1l4	3971	774	7912	1812	3735	82
Nap1l5	2860	1359	1579	330	5038	0
Napa	7200	768	11393	13330	17948	2787
Napb	5460	1002	4838	744	908	103
Napepld	83	15	351	50	17	0
Napg	2317	469	3086	1164	1135	450
Naprt	104	71	367	163	0	10
Napsa	57	3	9	18	0	0
Narf	1161	142	1723	305	2228	9
Narfl	601	67	1243	143	0	0
Nars	8701	2989	16247	13577	9746	2255
Nars2	439	66	630	106	0	6
Nasp	1547	14776	2768	17014	16772	576
Nasp-ps1	28	117	5	2	16	0
Nat1	5	0	18	0	0	0
Nat10	307	66	551	54	8	0
Nat14	328	105	728	191	21	0
Nat2	57	56	94	5183	11	1371
Nat3	0	0	0	0	0	0
Nat6	494	26	728	106	17	1
Nat8	6	0	0	0	0	0
Nat8b-ps	0	6	0	0	0	0
Nat8f1	139	36	201	31	17	0
Nat8f2	14	1	0	2	0	0
Nat8f3	3	1	0	0	0	0
Nat8f4	94	1	115	11	20	0
Nat8f5	0	0	0	0	14	0
Nat8f6	0	0	0	0	0	0
Nat8f7	5	0	0	2	0	0
Nat8l	358	59	466	1103	1019	374
Nat9	409	104	467	162	1447	1
Natd1	527	9	1136	98	0	0
Nav1	680	119	708	397	350	0
Nav2	452	47	412	60	22	3
Nav3	527	57	1072	122	111	5
Naxd	1615	310	3137	501	4516	0
Nbas	344	86	420	69	9	0
Nbea	430	58	234	103	2667	7
Nbeal1	674	163	352	98	303	0
Nbeal2	148	5	124	24	8	0
Nbl1	3940	210	6654	667	6954	2
Nbn	546	229	1104	214	0	0
Nbr1	1769	458	5660	617	10976	0
Ncald	656	75	1959	172	1145	1
Ncam1	2002	274	5022	511	1214	1
Ncam2	122	11	35	5	0	0
Ncan	81	16	192	10	1	0
Ncapd2	71	107	597	63	21	0
Ncapd3	188	63	920	40	371	0
Ncapg	31	28	404	70	19	2
Ncapg2	200	141	841	187	180	6
Ncaph	106	42	804	171	169	0
Ncaph2	2006	646	4831	2973	4922	60
Ncbp1	1016	491	2279	573	1	1
Ncbp2	1262	586	2311	844	3791	0
Ncbp3	607	254	865	1884	124	552
Nccrp1	15	7	22	10	2	0
Ncdn	3647	455	6156	427	2386	57
Nceh1	934	186	1621	156	0	0
Ncf1	51	0	23	54	13	14
Ncf2	143	55	58	12	13	5
Ncf4	27	0	2	19	0	0
Nck1	1306	380	1063	136	61	1
Nck2	488	81	1217	231	70	9
Nckap1	3259	520	8050	759	2294	5
Nckap1l	55	16	47	5	94	0
Nckap5	24	1	83	4	12	0
Nckap5l	198	11	312	756	2402	165
Nckap5los	2	2	16	60	0	14
Nckipsd	555	35	993	161	4	0
Ncl	3645	2877	6479	6065	9663	724
Ncln	1246	84	4355	8925	426	1888
Ncmap	79	11	52	49	50	0
Ncoa1	749	100	591	21	103	0
Ncoa2	756	148	565	24	279	1
Ncoa3	353	149	504	95	8	3
Ncoa4	152	51	356	103	908	0
Ncoa5	774	85	1342	181	3	0
Ncoa6	317	33	301	66	225	2
Ncoa7	1970	661	1069	293	938	41
Ncor1	2187	456	2004	447	145	1
Ncor2	361	94	449	248	608	2
Ncr1	12	0	2	9	6	0
Ncr3-ps	1	0	0	0	0	0
Ncs1	967	70	1841	172	1025	0
Ncstn	1442	248	5424	632	2689	1
Nctc1	48	0	5	0	2	0
Ndc1	549	60	2103	115	74	4
Ndc80	74	174	553	115	3	0
Nde1	900	131	3454	571	2558	9
Ndel1	3635	799	5626	1221	5243	0
Ndfip1	8375	1818	14939	6425	12013	1108
Ndfip2	6319	1453	6624	1275	4126	71
Ndn	9676	1539	10934	6819	6544	1395
Ndnf	459	52	118	26	0	0
Ndor1	474	83	1076	115	2	0
Ndp	129	97	1442	168	1	0
Ndrg1	1727	769	4852	11406	2423	2319
Ndrg2	1315	268	3919	717	1851	0
Ndrg3	1800	579	3424	535	639	6
Ndrg4	20590	2432	30933	17907	30901	3725
Ndst1	562	7	1751	65	9	1
Ndst2	532	294	1234	543	284	33
Ndst3	225	23	306	22	1	0
Ndst4	59	22	36	13	2	0
Ndufa1	4565	2016	6452	4933	23441	782
Ndufa10	4408	918	6821	6120	10702	1094
Ndufa11	3252	1068	5531	2496	10759	258
Ndufa12	1579	582	2342	945	8307	82
Ndufa13	3372	978	7282	7028	22142	1467
Ndufa2	4521	2098	8826	12668	17612	2839
Ndufa3	3472	1830	6431	6732	21384	1686
Ndufa4	11143	4377	13120	9034	32452	1605
Ndufa4l2	42	11	196	31	252	0
Ndufa5	3426	1789	5133	5776	18071	1254
Ndufa6	2566	939	4002	7575	4916	1605
Ndufa7	4834	1583	6759	1892	8320	0
Ndufa8	4137	745	4786	811	6537	4
Ndufa9	3683	1358	5206	1651	6546	32
Ndufab1	813	252	1515	1388	4983	826
Ndufab1-ps	148	64	353	287	2	0
Ndufaf1	364	78	1080	1547	0	494
Ndufaf2	499	225	687	210	1282	1
Ndufaf3	1208	395	1509	217	639	0
Ndufaf4	992	235	1091	152	2726	0
Ndufaf5	770	340	872	237	1993	3
Ndufaf6	674	70	768	185	4	0
Ndufaf7	712	272	993	131	1223	0
Ndufaf8	844	140	1510	451	2468	1
Ndufb10	2787	1182	4128	5013	9111	1110
Ndufb11	1364	541	2768	2528	6002	704
Ndufb2	1089	448	1675	1163	3368	271
Ndufb3	1655	967	2691	964	12790	7
Ndufb4	489	272	424	113	2558	0
Ndufb5	2265	814	2622	4209	4466	761
Ndufb6	3267	1375	4054	2056	6916	189
Ndufb7	2689	806	4452	2563	7346	393
